Issue Type,Issue key,Issue id,Parent id,Summary,Parent,Parent summary,Original estimate
Story,ATV-687,11739,,OCTANTE - separar as minutas dentro do Ativus,,,28800
Story,ATV-639,11691,,CONSULT - Ajustes,,,86400
Sub-task,ATV-642,11694,11691,Ajustar os botões para que fiquem na mesma ordem do restante da plataforma,11691,CONSULT - Ajustes,0
Sub-task,ATV-645,11697,11691,"Em contatos ajustar o nome da aba para CONSULTAS, já que vai englobar todas as consultas realizadas no sistema (Certidões, consult, M.O, P.E, etc)",11691,CONSULT - Ajustes,0
Sub-task,ATV-646,11698,11691,"Ao solicitar um Consult de uma pessoa que não está na base de contatos daquele ambiente, deve ser exibido uma mensagem de que o contato foi salvo com sucesso.",11691,CONSULT - Ajustes,0
Sub-task,ATV-718,11772,11691,"[Backend] Ao criar uma consulta, retornar uma flag no reponse para identificar se contato foi inserido ou não",11691,CONSULT - Ajustes,0
Sub-task,ATV-799,11884,11691,[Frontend] Inserir Breve descrição do que é cada status (centro superior da tela),11691,CONSULT - Ajustes,0
Story,ATV-678,11730,,Migrar Consulta de BigDataCorp para o Ativus,,,144000
Task,ATV-786,11871,,Infrastructure | CORTEVA - Criar instância para homologação do SOLO,,,86400
Task,ATV-601,11653,,Alterar nome dos databases para refletirem o subdomínio do cliente (Homologação),,,14400
Task,ATV-605,11657,,Refatorar settings.json do front end (Homologação),,,230400
Sub-task,ATV-603,11655,11657,Infrastructure | Modificar o padrão de URLs no Route 53 da AWS (Homologação),11657,Refatorar settings.json do front end (Homologação),28800
Sub-task,ATV-604,11656,11657,Front end | Buscar o ProgramID da URL (Homologação),11657,Refatorar settings.json do front end (Homologação),28800
Sub-task,ATV-606,11658,11657,Back end | Criar tabela para armezenar o settings.json (Homologação),11657,Refatorar settings.json do front end (Homologação),28800
Sub-task,ATV-607,11659,11657,Backend | Criar os endpoints que retornam o campo settingsJson do banco (Homologação),11657,Refatorar settings.json do front end (Homologação),28800
Sub-task,ATV-608,11660,11657,Front end | Fazer a chamada dos endpoints para recuperar o settings.json (Homologação),11657,Refatorar settings.json do front end (Homologação),57600
Sub-task,ATV-609,11661,11657,Infrastructure | Refatorar o projeto deploys para fazer deploy em um único bucket (Homologação),11657,Refatorar settings.json do front end (Homologação),14400
Story,ATV-725,11779,,Status Consult,,,0
Task,ATV-791,11876,,Consult deveria validar se existe configuração para se criar uma consulta,,,14400
Story,ATV-630,11682,,Criar uma solicitação de certidão,,,144000
Sub-task,ATV-755,11839,11682,[Frontend] Criar estrutura da tela para comportar listagem + filtro + drawer,11682,Criar uma solicitação de certidão,0
Sub-task,ATV-783,11868,11682,[Frontend] Criar um componente de gestão da criação da certidão,11682,Criar uma solicitação de certidão,0
Sub-task,ATV-784,11869,11682,[Frontend] Criar estrutura (json) dos campos dinâmicos da certidão,11682,Criar uma solicitação de certidão,0
Sub-task,ATV-754,11838,11682,[Frontend] Criar uma solicitação de certidão,11682,Criar uma solicitação de certidão,288000
Sub-task,ATV-698,11750,11682,[Backend] Criar uma solicitação por matrícula,11682,Criar uma solicitação de certidão,288000
Sub-task,ATV-647,11699,11682,[Backend] Criar uma solicitação por livro3,11682,Criar uma solicitação de certidão,288000
